crawlid,url,userinfo,message,pros,cons,title,make,model
1,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15143&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Austin","Owned a 2008 GMC Acadia and it was a total lemon, but we loved the design, space, and the look, we decided to give a 2014 a try. So far we are very pleased. Much better timing, braking, accelerating, AWD is impeccable, same interior space is great, new exterior design is excellent, new features on the inside are much improved. Overall a great choice. Hopefully we don't encounter problems as we did with the 2008 - however, GMC is willing to stand by their product. We purchased the extended bumper to bumper warranty to 60,000 miles, and if we don't use the deductible to fix anything between the end of the manufacture bumper to bumper and the extended period, we get the entire amount back. ","Spacious, AWD performance is impeccable. 
","Nothing yet. 
","2014 Acadia much improved by Austin on 12/28/2013. Trim: 2013 GMC Acadia SLT-1 AWD, Owned less than 1 year. Useful? ",GMC,ACADIA
2,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15143&search=MostRecent&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I love everything about this car. ","The interrior is spacious and easy for young kids to get in and out of the third row. The captains seats are extremely comfortable in the first two row. 
","The only negative I have found is that the voice command does not recognize commands as well when the vehicle is cold. 
","Great Family SUV by An MSN Autos Consumer on 10/09/2013. Trim: 2013 GMC Acadia SLT-1 FWD, Owned less than 1 year. 2 ",GMC,ACADIA
3,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Ja","I like certain things about this truck and there are some things that i dont care for but dont get me wrong it is a nice truck but they really have missed the boat with the power train and a few small things. The cab is bigger but still not as big as the ford but the seats in the gmc are more comfortable. The fit and finish is good and the materials they are using are great. The new screen and the Nav are a huge improvement. I think overall knowing how nice the F150 is and how awesome the ecoboost is has clouded my opinion of the new gmc and I think even with a dated body stlye the ford is still the better truck.. I dont mind driving it but I will be foaming at the mouth when ford does their redesign on the F150 ","Like the look of the truck and some of the features inside the cabin. The Sierra is very quiet but does have a rattle in the instrument cluster that is driving me crazy. I traded a 2011 f150 platinum ecoboost which I liked very much! So far I have had my Sierra for 2 months and miss my ecoboost there is no comparison to the low end torque that you get from the ecoboost. i should have waited for the 6.2 v8 but I wanted the fuel economy. 
","Fuel economy, rattle in the dash, lack of rear vent for climate. HP and torque are better than the old 5.3 but dont hold a candle to the F150's ecoboost (will be trading for the redesigned f150 or the atlas in 2015)I have got 16 in town but on our first trip best hwy mpg i got was 15.6mpg 
","My 2014 all terrain review by Jason B on 10/28/2013. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 4WD, Owned less than 1 year. 7 ",GMC,SIERRA1500
4,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","it is a nice truck i really do love this truck ","I have a GMC double cab 2wd it is a nice truck i really do like it the back has real doors one of things i like about the truck i did have a 2012 GMC xcab the truck i own now is a lot better than my old one i hadn't had any problems with the truck so far and i get my oil change for 2 years the only thing is my old GMC was a v8 this one is a V6 it don't have the power my old one has but i wont have full my new truck as much as i did so it will save me some money 
","nothing so far 
","A nice Truck by An MSN Autos Consumer on 12/10/2013. Owned less than 1 year. 3 ",GMC,SIERRA1500
5,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","GMC has perfected the pickup ","I went from a 2004 F-150 Super Crew Lariat to the 2014 SLE Crew, It's like night and day. The ride, fit and finish are awesome. 
","Nothing to dislike 
","perfect truck by An MSN Autos Consumer on 11/05/2013. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 4WD, Owned less than 1 year. 3 ",GMC,SIERRA1500
6,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Koz Wis","Great classy truck, not for everyone, ","The best looking truck. Inside is comfy, the ride is crazy great. 
","Too many buttons to play with. Seems to shift often. 
","The Elite pickup by Koz Wisconsin on 10/31/2013. Trim: 2014 GMC Sierra 1500 SLE Crew Cab 4WD, Owned less than 1 year. 3 ",GMC,SIERRA1500
7,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y hard working man","Looked at Dodge & Ford, thought the GM would be a better vehicle for my use, but I am left wanting a better truck for what I had to pay for it ","The looks, but has nothing else to offer 
","lack of torque to pull camper and boat 
","Another disappointment by hard working man on 10/01/2013. Trim: 2014 GMC Sierra 1500 SLT Double Cab 4WD, Owned less than 1 year. 3 ",GMC,SIERRA1500
8,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y Chuck Wa","Love it . ","All the improvements for 2014. The extras that it has over it's chevy twin. 
","Assembled in Mexico when the American public bailed GM out. 
","Excellent truck by Chuck Wagon on 12/20/2013. Trim: 2014 GMC Sierra 1500 Base Crew Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
9,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y An MSN Autos ","I've test drove all the trucks out there. Even owned some the other trucks. By far my favorite truck I have owned or tested. ","Quiet, smooth ride. Interior is very nice. All the seats are very comfortable. Plenty of power to tow. 
","Nothing 
","Best truck yet by An MSN Autos Consumer on 12/20/2013. Trim: 2014 GMC Sierra 1500 SLT Crew Cab 4WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
10,http://autos.msn.com/research/userreviews/reviewlist.aspx?ModelID=15413&search=MostUseful&num=2000&pos=0&csort=MostUseful&RevOwn=0&RevDrv=0&RevEnth=0&rtchng=0#reviewnav,"y spencerfromTexas","it has great towing capacity and fuel economy ","i love the engine and the rims 
","nothing 
","the beast man by spencerfromTexas on 11/11/2013. Trim: 2014 GMC Sierra 1500 Base 2WD, Owned less than 1 year. 2 ",GMC,SIERRA1500
